"id","name"
382304835,"Санкт-Петербургский институт информатики и автоматизации РАН"
234855570,"Санкт-Петербургский институт информатики и автоматизации Российской академии наук"
-178526005,"Петербургский государственный университет путей сообщения императора Александра I"
-1542308356,"Череповецкий государственный университет"
2118768097,"Санкт-Петербургский государственный университет"
2092095983,"Российская академия народного хозяйства и государственной службы при Президенте РФ"
1641350844,"Ульяновский институт гражданской авиации им. Главного маршала авиации Б.П. Бугаева"
559518572,"Ульяновский институт гражданской авиации им. Главного маршала авиации Б.П.Бугаева"
759041059,"Федеральное государственное бюджетное учреждение науки Санкт-Петербургский институт информатики и автоматизации Российской академии наук (СПИИРАН)"
-196984197,"Институт водных проблем РАН"
-201888472,"Московский государственный университет им. М.В. Ломоносова"
455889596,"Санкт-Петербургский институт информатизации и автоматизации РАН"
-1908932510,"Федеральное государственное унитарное предприятие «Государственный научно-исследовательский институт прикладных проблем»"
1417319945,"ФГБУН Санкт-Петербургский институт информатики и автоматизации РАН (СПИИРАН)"
-846505862,"Военно-космическая академия им. А.Ф. Можайского"
1547702569,"State University of Management"
-242715295,"V.I. Vernadsky Federal University"
-943867890,"Казанский национальный исследовательский технический университет им. А.Н. Туполева - КАИ"
-1356283733,"Петербургский государственный университет путей сообщения Императора Александра I"
498983897,"Emperor Alexander i St. Petersburg State Transport University"
-880783806,"Laboratory of Theoretical and Interdisciplinary Problems of Informatics, St. Petersburg Institute for Informatics and Automation of the Russian Academy of Sciences"
226761767,"Mathematics and Mechanics Faculty, St. Petersburg State University"
1798013750,"Санкт-Петербургский институт информатики и автоматизации"
-102769668,"St. Petersburg Institute for Informatics and Automation of the Russian Academy of Sciences"
640158619,"St. Petersburg State University"
1008655747,"СПбГУ"
-3103971,"Ульяновский институт гражданской авиации имени Главного маршала авиации Б.П. Бугаева»"
-360545795,"ФГБОУ ВО «Московский государственный технический университет гражданской авиации»"
138447198,"Ульяновский институт гражданской авиации имени Главного маршала авиации Б.П. Бугаева"
2101016958,"Ульяновский институт гражданской авиации имени главного маршала авиации Б.П. Бугаева"
-1964071634,"Министерство транспорта Российской Федерации"
-512914258,"ФГУП Государственный научно-исследовательский институт гражданской авиации"
1028899407,"ОАО «Радиоавионика»"
1905349987,"Поволжский государственный университет телекоммуникаций и информатики"
1342321802,"Ульяновский институт гражданской авиации имени Главного маршала авиации Б.П.Бугаева"
1857347181,"ФГБОУ ВО УИ ГА"
205092743,"Ульяновский институт гражданской авиации имени Главного маршала авиации Б.П. Бугаева, (Ульяновск, Россия)"
617832602,"Institute for Informatics and Automation of the Russian Academy of Sciences"
621113291,"АО «ВНИИЖТ»"
1972374457,"Emperor Alexander I St. Petersburg State Transport University"
1290412704,"ГОУ ВПО ЧГУ"
134790616,"St. Petersburg Institute for Informatics and Automation of RAS"
-1547271979,"Saint-Petersburg Institute for Informatics and Automation of the Russian Academy of Sciences"
-1422012507,"Volga State University of Technology"
-72883916,"St. Petersburg Centre for Control and Prevention of AIDS and Other Infection"
1175692886,"Department of Infectious Diseases and Epidemiology, First Pavlov State Medical University of St. Petersburg"
-707041117,"Laboratory of Immunology and Virology of HIV Infection, Saint-Petersburg Pasteur Institute"
55057539,"Department of Psychology, St. Petersburg State University"
-752827147,"Laboratory of Theoretical and Interdisciplinary Informatics Problems, St. Petersburg Institute for Informatics and Automation of the Russian Academy of Sciences"
1371379006,"Saint Petersburg Institute of Informatics and Automation, Russian Academy of Sciences (SPIIRAS)"
249499874,"Saint Petersburg National Research University of Information Technologies, Mechanics and Optics (ITMO)"
-1084474058,"Laboratory of Clinical Psychopharmacology of Addictions, Valdman Institute of Pharmacology, First Pavlov State Medical University of St. Petersburg"
-1685099773,"Department of Addictions, St. Petersburg Bekhterev Research Psychoneurological Institute"
748417092,"Laboratory of Computer Security Problems, St. Petersburg Institute for Informatics and Automation"
-1367344689,"СПИИРАН"
-422165899,"Учреждение Российской академии наук Санкт-Петербургского института информатики и автоматизации РАН (СПИИРАН)"
-1475828132,"Санкт Петербургский государственный университет (СПбГУ)"
-1748441351,"Учреждение Российской академии наук Санкт-Петербургский институт информатики и автоматизации РАН (СПИИРАН)"
-695479304,"Северо-Западная академия государственной службы (СЗАГС)"
-361984989,"Институт математики и компьютерных наук Тюменский государственный университет"
1680434368,"Нижегородский государственный технический университет им. Р.Е. Алексеева (НГТУ)"
810500180,"Тюменский государственный университет"
1817885279,"Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики"
1239181767,"ООО «ЦРТ-инновации»"
-170444939,"Кубанский государственный аграрный университет им. И.Т. Трубилина"
880570982,"Национальный исследовательский ядерный университет «МИФИ»"
1400036174,"Брянский Государственный Технический университет"
-1718137918,"Сибирский государственный университет науки и технологий им. ак. М.Ф.Решетнева"
-1789696053,"Красноярский государственный аграрный университет"
1985678217,"Марийский государственный университет"
1779590044,"Витебский государственный университет имени П.М. Машерова"
1052498,"ФТА"
772325787,"Московский политехнический университет"
1885555291,"Новгородский государственный университет имени Ярослава Мудрого"
-963343098,"Новосибирский государственный технический университет"
1092801941,"ФГБОУ ВПО Тюменский государственный университет, Россия"
273149564,"Тюменский государственный медицинский университет"
581065130,"Нижегородский государственный технический университет им. Р.Е. Алексеева"
-144038319,"Кубанский государственный университет"
621176293,"Кубанский государственный аграрный университет имени И.Т.Трубилина"
-632517477,"ГОУ ВПО «Тюменский государственный университет»"
-1559328275,"Астраханский государственный университет"
-129789791,"ITMO University"
422324443,"Speech Technolodgy Center Ltd."
9035943,"Speech Technology Center Ltd."
1865612307,"Университет ИТМО"
-1990875796,"Астраханский государственный архитектурно-строительный университет"
-931030465,"University ITMO"
-1933045869,"Сочинский научно-исследовательский центр РАН"
444460581,"Кубанский Государственный Аграрный университет имени И.Т.Трубилина"
1467194817,"Вятский государственный университет"
233964042,"Нижегородский государственный технический университет им Р.Е.Алексеева"
496093618,"Nizhny Novgorod State Technical University n.a. R.E. Alekseev"
-1735706975,"RUDN University"
1841884465,"Vyatka State University"
1582300180,"Российский университет кооперации"
146329081,"Консалтинговый центр ЛАРИУМ"
1105703312,"Российский государственный социальный университет"
1838508830,"Московский университет МВД России имени В.Я. Кикотя"
1268541441,"Брянский государственный технический университет, Брянск, Россия"
-599825507,"Брянский государственный университет им. академика И.Г. Петровского"
-6032629,"Оренбургский государственный университет"
-1144561367,"Иркутский национальный исследовательский технический университет"
1461845013,"Институт системного анализа Федерального исследовательского центра «Информатика и управление» Российской академии наук"
-28755320,"Псковский государственный университет"
-545675601,"Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики (Университет ИТМО)"
-1934551226,"Военная академия ВКО имени Г.К. Жукова"
216027027,"Военная академия воздушно-космической обороны имени Маршала Советского союза Г.К. Жукова"
-140210317,"Военная академия воздушно-космической обороны имени Маршала Советского Союза Г.К. Жукова"
-1276017974,"Финансовый университет при Правительстве РФ"
1004114484,"МТУСИ"
-1813828201,"Санкт-Петербургский государственный экономический университет"
-1890828812,"Санкт-Петербургский государственный экономический университет (СПбГЭУ)"
32942248,"ЯГПУ"
-13710784,"Национальный исследовательский технологический университет «МИСиС», Старооскольский технологический институт им. А.А.Угарова (филиал)"
836373161,"Orenburg State University"
233974724,"Federal State Scientific Institution ""Federal Research Centre of Biological Systems and Agro-technologies of the Russian Academy of Sciences"""
1189511581,"Department of Applied Mathematics, Orenburg State University"
-1743197282,"Saint Petersburg National Research University of Information Technologies"
-56180166,"North Caucasus Federal University"
1665054003,"Department of Informatics, Orenburg State University"
-483908305,"National Research Irkutsk Technical University"
-2136204028,"Irkutsk Nation Research Technical University"
657511839,"Federal State Budget Educational Institution of Higher Education «Irkutsk National Research Technical University»"
305351693,"OOO «Квадросистемс»"
1959980067,"Federal Research Center Computer Science and Control of the Russian Academy of Sciences"
-370669536,"FRC Computer Science and Control RAS"
