"id","surname","n","p","revision"
-480446436,"ЮСУПОВ","Р","М",1
457911323,"СТАНКЕВИЧ","Т","Л",1
595819552,"KHLOBYSTOVA","A"," ",1
-482260971,"ВОЛКОВ","А","Е",1
-482260972,"ВОЛКОВ","А","Д",1
743822365,"КУСТОВ","В","Н",1
-77663214,"КРЮЧКОВА","Н","В",1
311806992,"АГЕЕВ","С","А",1
-2003527664,"АЗАРОВ","А","А",1
1260442668,"ПИМАНОВ","И","Ь",1
-1849150395,"PASCHENKO","A","E",1
1260442670,"ПИМАНОВ","И","Ю",1
1461468190,"КОТЕНКО","И","О",1
1461459987,"КОТЕНКО","А","Г",1
422624288,"SOKOLOV","B"," ",1
-611751909,"ЯКОВЛЕВ","В","Л",1
1656851542,"YAKOVLEV","V","V",1
-2071447536,"КОРНИЕНКО","А","А",1
-969399264,"PASHCHENKO","A"," ",1
-611751918,"ЯКОВЛЕВ","В","В",1
-1548683243,"ТУЛУПЬЕВ","А","Е",1
968799258,"УСЫЧЕНКО","В","К",1
-763488238,"ТУЛУПЬЕВА","Т","В",1
-1579550694,"АБРАМОВ","М","К",1
-531692526,"СТЕПАШКИН","М","В",1
2032269328,"МАКСИМОВ","А","А",1
-1161432032,"TULUPYEV","A"," ",1
1498985493,"ПАЩЕНКО","А","Е",1
-1683390432,"ZOLOTIN","A"," ",1
-1548683237,"ТУЛУПЬЕВ","А","Л",1
-199529448,"ПОПОВ","Ю","И",1
1141356576,"СОЛДАТЕНКО","С","Р",1
226457686,"SUVOROVA","A","V",1
2063585366,"RASSOKHIN","V","V",1
1010721813,"СЕМЁНОВ","А","Е",1
-256548848,"ХЛОБЫСТОВА","А","А",1
536309780,"БУШМЕЛЕВ","Ф","Д",1
1032554533,"ОХТИЛЕВ","М","Х",1
-843443179,"КОМОВ","А","Е",1
-1644569514,"TULUPYEVA","T","V",1
831647776,"АБЗАЛОВ","А","Р",1
1965925397,"АДАДУРОВ","С","Е",1
834842656,"KOTENKO","I"," ",1
-882048938,"VETROVA","M","V",1
-1607672816,"ПРИВАЛОВ","А","А",1
472754194,"ДОЙНИКОВА","Е","В",1
-1143153636,"АЛАБЯН","А","М",1
1423052818,"СОКОЛОВ","Б","В",1
2052240402,"ГОФМАН","М","В",1
781614166,"TOROPOVA","A","V",1
257134610,"КАПАРУЛИНА","Н","В",1
1490302992,"ШАЛАМОВ","Р","А",1
-1613098980,"ПОТРЯСАЕВ","С","М",1
1770508353,"ABYSHEV","R","A",1
1121670162,"КАПИТАНЧУК","В","В",1
-1613098992,"ПОТРЯСАЕВ","С","А",1
6986784,"STEPASHKIN","M"," ",1
751918109,"КРЫЛЕНКО","И","Н",1
2065352790,"ALEKSANDROVA","O","V",1
244531265,"AZAROV","A","A",1
2079790112,"ПОНОМАРЕНКО","М","Р",1
-1812598750,"МИРОНЧИКОВ","Е","Т",1
2059871248,"ДЕВЯТКОВ","В","А",1
-1374147519,"KORNIENKO","A","A",1
-884331504,"СОБОЛЕВСКИЙ","В","А",1
1895478304,"ПИСАРЕВ","С","Р",1
935858194,"МИШИН","Д","В",1
-1806993392,"ЗЕЛЕНЦОВ","В","А",1
-482260966,"ВОЛКОВ","А","К",1
2059887644,"ДЕВЯТКОВ","Т","М",1
-482261984,"ВОЛКОВ","А"," ",1
422624338,"SOKOLOV","B","R",1
-671628267,"СУЛЕЙМАНОВ","А","Е",1
1461468178,"КОТЕНКО","И","В",1
1190846494,"СОРОКИН","Л","О",1
-1748639712,"IPATOV","Y"," ",1
-1689963488,"DOYNIKOVA","E"," ",1
-654881761,"ГЛУХОВ","А","П",1
-164953023,"PETRENKO","A","A",1
-531692507,"СТЕПАШКИН","М","Х",1
472545345,"MAKOVEYCHUK","K","A",1
-1806993369,"ЗЕЛЕНЦОВ","В","Ч",1
-613412835,"КАЛИНИН","В","Н",1
-1956439022,"ДИАСАМИДЗЕ","С","В",1
1423052832,"СОКОЛОВ","Б","Р",1
1709433876,"БОЛЬШЕДВОРСКАЯ","Л","Д",1
1498985506,"ПАЩЕНКО","А","Т",1
510331925,"ПАВЛОВ","А","Е",1
-1040900075,"КУГАЕВСКИХ","А","Е",1
