"id","id_first","id_second","weight"
"-480446436-1579550694",-480446436,-1579550694,1
"-480446436743822365",-480446436,743822365,1
"-480446436-77663214",-480446436,-77663214,1
"-4804464361498985493",-480446436,1498985493,1
"-480446436457911323",-480446436,457911323,1
"-480446436-482260971",-480446436,-482260971,1
"-480446436-482260972",-480446436,-482260972,1
"-480446436-531692526",-480446436,-531692526,1
"-1579550694-480446436",-1579550694,-480446436,1
"-1579550694743822365",-1579550694,743822365,1
"-1579550694-77663214",-1579550694,-77663214,1
"-15795506941498985493",-1579550694,1498985493,1
"-1579550694457911323",-1579550694,457911323,1
"-1579550694-482260971",-1579550694,-482260971,1
"-1579550694-482260972",-1579550694,-482260972,1
"-1579550694-531692526",-1579550694,-531692526,1
"743822365-480446436",743822365,-480446436,1
"743822365-1579550694",743822365,-1579550694,1
"743822365-77663214",743822365,-77663214,1
"743822365-763488238",743822365,-763488238,1
"7438223651498985493",743822365,1498985493,1
"743822365-482260971",743822365,-482260971,1
"743822365-482260972",743822365,-482260972,1
"743822365-763488222",743822365,-763488222,1
"743822365-531692526",743822365,-531692526,1
"-77663214-480446436",-77663214,-480446436,1
"-77663214-1579550694",-77663214,-1579550694,1
"-77663214743822365",-77663214,743822365,1
"-77663214-763488238",-77663214,-763488238,1
"-776632141498985493",-77663214,1498985493,1
"-77663214457911323",-77663214,457911323,1
"-77663214-482260971",-77663214,-482260971,1
"-77663214-482260972",-77663214,-482260972,1
"-77663214-763488222",-77663214,-763488222,1
"-77663214-531692526",-77663214,-531692526,1
"-763488238743822365",-763488238,743822365,1
"-763488238-77663214",-763488238,-77663214,1
"-763488238457911323",-763488238,457911323,1
"-763488238-482260971",-763488238,-482260971,1
"-763488238-482260972",-763488238,-482260972,1
"1498985493-480446436",1498985493,-480446436,1
"1498985493-1579550694",1498985493,-1579550694,1
"1498985493743822365",1498985493,743822365,1
"1498985493-77663214",1498985493,-77663214,1
"1498985493-763488238",1498985493,-763488238,1
"1498985493457911323",1498985493,457911323,1
"1498985493-482260971",1498985493,-482260971,1
"1498985493-482260972",1498985493,-482260972,1
"457911323-480446436",457911323,-480446436,1
"457911323-1579550694",457911323,-1579550694,1
"457911323-77663214",457911323,-77663214,1
"457911323-763488238",457911323,-763488238,1
"4579113231498985493",457911323,1498985493,1
"457911323-482260971",457911323,-482260971,1
"457911323-482260972",457911323,-482260972,1
"457911323-763488222",457911323,-763488222,1
"457911323-531692526",457911323,-531692526,1
"-482260971-480446436",-482260971,-480446436,1
"-482260971-1579550694",-482260971,-1579550694,1
"-482260971743822365",-482260971,743822365,1
"-482260971-77663214",-482260971,-77663214,1
"-482260971-763488238",-482260971,-763488238,1
"-4822609711498985493",-482260971,1498985493,1
"-482260971457911323",-482260971,457911323,1
"-482260971-763488222",-482260971,-763488222,1
"-482260971-531692526",-482260971,-531692526,1
"-482260972-480446436",-482260972,-480446436,1
"-482260972-1579550694",-482260972,-1579550694,1
"-482260972743822365",-482260972,743822365,1
"-482260972-77663214",-482260972,-77663214,1
"-482260972-763488238",-482260972,-763488238,1
"-4822609721498985493",-482260972,1498985493,1
"-482260972457911323",-482260972,457911323,1
"-482260972-763488222",-482260972,-763488222,1
"-482260972-531692526",-482260972,-531692526,1
"-763488222743822365",-763488222,743822365,1
"-763488222-77663214",-763488222,-77663214,1
"-763488222457911323",-763488222,457911323,1
"-763488222-482260971",-763488222,-482260971,1
"-763488222-482260972",-763488222,-482260972,1
"-531692526-480446436",-531692526,-480446436,1
"-531692526-1579550694",-531692526,-1579550694,1
"-531692526743822365",-531692526,743822365,1
"-531692526-77663214",-531692526,-77663214,1
"-531692526-763488238",-531692526,-763488238,1
"-5316925261498985493",-531692526,1498985493,1
"-531692526457911323",-531692526,457911323,1
"-531692526-482260971",-531692526,-482260971,1
"-531692526-482260972",-531692526,-482260972,1
"-531692526-763488222",-531692526,-763488222,1
"-1223648240-1143153636",-1223648240,-1143153636,1
"-12236482401423052818",-1223648240,1423052818,1
"-1223648240-480446436",-1223648240,-480446436,1
"-1223648240968799258",-1223648240,968799258,1
"-12236482401190846494",-1223648240,1190846494,1
"-1223648240-1613098980",-1223648240,-1613098980,1
"-12236482401141356576",-1223648240,1141356576,1
"-1223648240-1613098992",-1223648240,-1613098992,1
"-12236482401010721813",-1223648240,1010721813,1
"-1223648240751918109",-1223648240,751918109,1
"-1223648240-613412835",-1223648240,-613412835,1
"-12236482401032554533",-1223648240,1032554533,1
"-12236482401260442670",-1223648240,1260442670,1
"-12236482402079790112",-1223648240,2079790112,1
"-1223648240-884331504",-1223648240,-884331504,1
"-1223648240-1806993392",-1223648240,-1806993392,1
"-1143153636-1223648240",-1143153636,-1223648240,1
"-1143153636968799258",-1143153636,968799258,1
"-11431536361190846494",-1143153636,1190846494,1
"-1143153636-1613098980",-1143153636,-1613098980,1
"-1143153636-613412835",-1143153636,-613412835,1
"-11431536361032554533",-1143153636,1032554533,1
"1423052818-1223648240",1423052818,-1223648240,1
"1498985493-531692526",1498985493,-531692526,1
"-482260971-482260972",-482260971,-482260972,1
"-482260972-482260971",-482260972,-482260971,1
"-1579550694-763488222",-1579550694,-763488222,7
"-763488222-1579550694",-763488222,-1579550694,1
"-7634882221498985493",-763488222,1498985493,5
"1423052818968799258",1423052818,968799258,1
"14230528181190846494",1423052818,1190846494,1
"1423052818-1613098980",1423052818,-1613098980,1
"1423052818-613412835",1423052818,-613412835,1
"14230528181032554533",1423052818,1032554533,1
"-480446436-1223648240",-480446436,-1223648240,1
"-480446436968799258",-480446436,968799258,1
"-4804464361190846494",-480446436,1190846494,1
"-480446436-1613098980",-480446436,-1613098980,1
"-480446436-613412835",-480446436,-613412835,1
"-4804464361032554533",-480446436,1032554533,1
"968799258-1223648240",968799258,-1223648240,1
"968799258-1143153636",968799258,-1143153636,1
"9687992581423052818",968799258,1423052818,1
"968799258-480446436",968799258,-480446436,1
"968799258-1613098980",968799258,-1613098980,1
"9687992581141356576",968799258,1141356576,1
"968799258-1613098992",968799258,-1613098992,1
"9687992581010721813",968799258,1010721813,1
"968799258751918109",968799258,751918109,1
"968799258-613412835",968799258,-613412835,1
"9687992581032554533",968799258,1032554533,1
"9687992581260442670",968799258,1260442670,1
"9687992582079790112",968799258,2079790112,1
"968799258-884331504",968799258,-884331504,1
"968799258-1806993392",968799258,-1806993392,1
"1190846494-1223648240",1190846494,-1223648240,1
"1190846494-1143153636",1190846494,-1143153636,1
"11908464941423052818",1190846494,1423052818,1
"1190846494-480446436",1190846494,-480446436,1
"1190846494-1613098980",1190846494,-1613098980,1
"11908464941141356576",1190846494,1141356576,1
"1190846494-1613098992",1190846494,-1613098992,1
"11908464941010721813",1190846494,1010721813,1
"1190846494751918109",1190846494,751918109,1
"1190846494-613412835",1190846494,-613412835,1
"11908464941032554533",1190846494,1032554533,1
"11908464941260442670",1190846494,1260442670,1
"11908464942079790112",1190846494,2079790112,1
"1190846494-884331504",1190846494,-884331504,1
"1190846494-1806993392",1190846494,-1806993392,1
"-1613098980-1223648240",-1613098980,-1223648240,1
"-1613098980-1143153636",-1613098980,-1143153636,1
"-16130989801423052818",-1613098980,1423052818,1
"-1613098980-480446436",-1613098980,-480446436,1
"-1613098980968799258",-1613098980,968799258,1
"-16130989801190846494",-1613098980,1190846494,1
"-16130989801141356576",-1613098980,1141356576,1
"-1613098980-1613098992",-1613098980,-1613098992,1
"-16130989801010721813",-1613098980,1010721813,1
"-1613098980751918109",-1613098980,751918109,1
"-1613098980-613412835",-1613098980,-613412835,1
"-16130989801260442670",-1613098980,1260442670,1
"-16130989802079790112",-1613098980,2079790112,1
"-1613098980-884331504",-1613098980,-884331504,1
"-1613098980-1806993392",-1613098980,-1806993392,1
"1141356576-1223648240",1141356576,-1223648240,1
"1141356576968799258",1141356576,968799258,1
"11413565761190846494",1141356576,1190846494,1
"1141356576-1613098980",1141356576,-1613098980,1
"1141356576-613412835",1141356576,-613412835,1
"11413565761032554533",1141356576,1032554533,1
"-1613098992-1223648240",-1613098992,-1223648240,1
"-1613098992968799258",-1613098992,968799258,1
"-16130989921190846494",-1613098992,1190846494,1
"-1613098992-1613098980",-1613098992,-1613098980,1
"-1613098992-613412835",-1613098992,-613412835,1
"-16130989921032554533",-1613098992,1032554533,1
"1010721813-1223648240",1010721813,-1223648240,1
"1010721813968799258",1010721813,968799258,1
"10107218131190846494",1010721813,1190846494,1
"1010721813-1613098980",1010721813,-1613098980,1
"1010721813-613412835",1010721813,-613412835,1
"10107218131032554533",1010721813,1032554533,1
"751918109-1223648240",751918109,-1223648240,1
"751918109968799258",751918109,968799258,1
"7519181091190846494",751918109,1190846494,1
"751918109-1613098980",751918109,-1613098980,1
"751918109-613412835",751918109,-613412835,1
"7519181091032554533",751918109,1032554533,1
"-613412835-1223648240",-613412835,-1223648240,1
"-613412835-1143153636",-613412835,-1143153636,1
"-6134128351423052818",-613412835,1423052818,1
"-613412835-480446436",-613412835,-480446436,1
"-613412835968799258",-613412835,968799258,1
"-6134128351190846494",-613412835,1190846494,1
"-613412835-1613098980",-613412835,-1613098980,1
"-6134128351141356576",-613412835,1141356576,1
"-613412835-1613098992",-613412835,-1613098992,1
"-6134128351010721813",-613412835,1010721813,1
"-613412835751918109",-613412835,751918109,1
"-6134128351032554533",-613412835,1032554533,1
"-6134128351260442670",-613412835,1260442670,1
"-6134128352079790112",-613412835,2079790112,1
"-613412835-884331504",-613412835,-884331504,1
"-613412835-1806993392",-613412835,-1806993392,1
"1032554533-1223648240",1032554533,-1223648240,1
"1032554533-1143153636",1032554533,-1143153636,1
"10325545331423052818",1032554533,1423052818,1
"1032554533-480446436",1032554533,-480446436,1
"1032554533968799258",1032554533,968799258,1
"10325545331190846494",1032554533,1190846494,1
"10325545331141356576",1032554533,1141356576,1
"1032554533-1613098992",1032554533,-1613098992,1
"10325545331010721813",1032554533,1010721813,1
"1032554533751918109",1032554533,751918109,1
"1032554533-613412835",1032554533,-613412835,1
"10325545331260442670",1032554533,1260442670,1
"10325545332079790112",1032554533,2079790112,1
"1032554533-884331504",1032554533,-884331504,1
"1032554533-1806993392",1032554533,-1806993392,1
"1260442670-1223648240",1260442670,-1223648240,1
"1260442670968799258",1260442670,968799258,1
"12604426701190846494",1260442670,1190846494,1
"1260442670-1613098980",1260442670,-1613098980,1
"1260442670-613412835",1260442670,-613412835,1
"12604426701032554533",1260442670,1032554533,1
"2079790112-1223648240",2079790112,-1223648240,1
"2079790112968799258",2079790112,968799258,1
"20797901121190846494",2079790112,1190846494,1
"2079790112-1613098980",2079790112,-1613098980,1
"2079790112-613412835",2079790112,-613412835,1
"20797901121032554533",2079790112,1032554533,1
"-884331504-1223648240",-884331504,-1223648240,1
"-884331504968799258",-884331504,968799258,1
"-8843315041190846494",-884331504,1190846494,1
"-884331504-1613098980",-884331504,-1613098980,1
"-884331504-613412835",-884331504,-613412835,1
"-8843315041032554533",-884331504,1032554533,1
"-1806993392-1223648240",-1806993392,-1223648240,1
"-1806993392968799258",-1806993392,968799258,1
"-18069933921190846494",-1806993392,1190846494,1
"-1806993392-1613098980",-1806993392,-1613098980,1
"-1806993392-613412835",-1806993392,-613412835,1
"-18069933921032554533",-1806993392,1032554533,1
"-164953023-611751909",-164953023,-611751909,1
"-1649530231656851542",-164953023,1656851542,1
"-164953023-2071447536",-164953023,-2071447536,1
"472545345-611751909",472545345,-611751909,1
"4725453451656851542",472545345,1656851542,1
"472545345-2071447536",472545345,-2071447536,1
"831647776-611751909",831647776,-611751909,1
"8316477761656851542",831647776,1656851542,1
"831647776-2071447536",831647776,-2071447536,1
"-611751909-164953023",-611751909,-164953023,1
"-611751909472545345",-611751909,472545345,1
"-611751909831647776",-611751909,831647776,1
"1656851542-164953023",1656851542,-164953023,1
"1656851542472545345",1656851542,472545345,1
"1656851542831647776",1656851542,831647776,1
"1656851542-611751909",1656851542,-611751909,1
"-2071447536-164953023",-2071447536,-164953023,1
"-2071447536472545345",-2071447536,472545345,1
"-2071447536831647776",-2071447536,831647776,1
"-20714475361656851542",-2071447536,1656851542,1
"536309780-1683390432",536309780,-1683390432,1
"536309780778881056",536309780,778881056,1
"595819552-1683390432",595819552,-1683390432,1
"595819552778881056",595819552,778881056,1
"-256548848-1683390432",-256548848,-1683390432,1
"-256548848778881056",-256548848,778881056,1
"-1161432032-1683390432",-1161432032,-1683390432,1
"-1161432032778881056",-1161432032,778881056,1
"-1683390432536309780",-1683390432,536309780,1
"-1683390432-1579550694",-1683390432,-1579550694,1
"-1683390432595819552",-1683390432,595819552,1
"-1683390432-256548848",-1683390432,-256548848,1
"-1683390432-1548683243",-1683390432,-1548683243,1
"-1683390432-1161432032",-1683390432,-1161432032,1
"-1683390432-256548834",-1683390432,-256548834,1
"-1683390432-1548683237",-1683390432,-1548683237,1
"-16833904322032269328",-1683390432,2032269328,1
"-256548834-1683390432",-256548834,-1683390432,1
"-256548834778881056",-256548834,778881056,1
"-12598875842032269328",-1259887584,2032269328,5
"-164953023831647776",-164953023,831647776,5
"472545345-164953023",472545345,-164953023,5
"831647776472545345",831647776,472545345,3
"472545345831647776",472545345,831647776,5
"831647776-164953023",831647776,-164953023,3
"-6117519091656851542",-611751909,1656851542,3
"1656851542-2071447536",1656851542,-2071447536,3
"-256548848-1161432032",-256548848,-1161432032,3
"536309780-1161432032",536309780,-1161432032,3
"-2565488482032269328",-256548848,2032269328,5
"5958195522032269328",595819552,2032269328,5
"-1161432032-256548848",-1161432032,-256548848,3
"-1548683243-1683390432",-1548683243,-1683390432,3
"-1683390432-763488222",-1683390432,-763488222,3
"-1579550694-256548848",-1579550694,-256548848,5
"536309780-1259887584",536309780,-1259887584,3
"536309780-256548834",536309780,-256548834,3
"-1579550694-1683390432",-1579550694,-1683390432,3
"-1548683243778881056",-1548683243,778881056,3
"595819552536309780",595819552,536309780,3
"595819552-256548848",595819552,-256548848,3
"-1579550694-1161432032",-1579550694,-1161432032,3
"595819552-1548683243",595819552,-1548683243,3
"-1259887584-1579550694",-1259887584,-1579550694,3
"595819552-256548834",595819552,-256548834,3
"-15795506942032269328",-1579550694,2032269328,5
"-256548848-763488222",-256548848,-763488222,9
"-1579550694536309780",-1579550694,536309780,3
"536309780595819552",536309780,595819552,3
"-1548683243-1161432032",-1548683243,-1161432032,3
"-1161432032-256548834",-1161432032,-256548834,3
"-15486832432032269328",-1548683243,2032269328,5
"-256548848536309780",-256548848,536309780,3
"-1161432032536309780",-1161432032,536309780,3
"536309780-1579550694",536309780,-1579550694,3
"-256548848-1259887584",-256548848,-1259887584,3
"-1161432032-763488222",-1161432032,-763488222,5
"536309780-256548848",536309780,-256548848,3
"-1259887584-1548683243",-1259887584,-1548683243,3
"-1548683243-763488222",-1548683243,-763488222,17
"-1548683243536309780",-1548683243,536309780,3
"-1259887584-256548834",-1259887584,-256548834,3
"-2565488342032269328",-256548834,2032269328,5
"-1259887584-763488222",-1259887584,-763488222,7
"-1259887584536309780",-1259887584,536309780,3
"-256548834-763488222",-256548834,-763488222,9
"-256548834536309780",-256548834,536309780,3
"595819552-763488222",595819552,-763488222,5
"536309780-1548683237",536309780,-1548683237,5
"536309780-763488222",536309780,-763488222,5
"595819552-1579550694",595819552,-1579550694,3
"-256548848595819552",-256548848,595819552,3
"-1161432032-1579550694",-1161432032,-1579550694,3
"-1548683243595819552",-1548683243,595819552,3
"-1579550694-1259887584",-1579550694,-1259887584,5
"-256548834595819552",-256548834,595819552,3
"-1161432032-1548683237",-1161432032,-1548683237,5
"-256548848-1579550694",-256548848,-1579550694,5
"-1161432032-1548683243",-1161432032,-1548683243,3
"-256548834-1161432032",-256548834,-1161432032,3
"-1259887584-256548848",-1259887584,-256548848,3
"-1548683243-1259887584",-1548683243,-1259887584,5
"-11614320322032269328",-1161432032,2032269328,5
"-256548834-1259887584",-256548834,-1259887584,3
"-1259887584-1548683237",-1259887584,-1548683237,5
"5363097802032269328",536309780,2032269328,5
"-1548683237536309780",-1548683237,536309780,1
"-1548683237-1161432032",-1548683237,-1161432032,1
"-1548683237-1683390432",-1548683237,-1683390432,1
"-1548683237778881056",-1548683237,778881056,1
"778881056536309780",778881056,536309780,1
"778881056-1579550694",778881056,-1579550694,1
"778881056-256548848",778881056,-256548848,1
"778881056-1161432032",778881056,-1161432032,1
"2032269328595819552",2032269328,595819552,1
"2032269328-1548683243",2032269328,-1548683243,1
"2032269328-1259887584",2032269328,-1259887584,1
"2032269328-256548834",2032269328,-256548834,1
"2032269328778881056",2032269328,778881056,1
"-763488222536309780",-763488222,536309780,1
"-763488222-256548848",-763488222,-256548848,1
"-763488222-1161432032",-763488222,-1161432032,1
"-763488222-1683390432",-763488222,-1683390432,1
"778881056-763488222",778881056,-763488222,3
"2032269328-1548683237",2032269328,-1548683237,5
"-1548683237-763488222",-1548683237,-763488222,11
"-7634882222032269328",-763488222,2032269328,5
"-1548683237595819552",-1548683237,595819552,1
"-1548683237-1259887584",-1548683237,-1259887584,1
"-15486832372032269328",-1548683237,2032269328,1
"778881056595819552",778881056,595819552,1
"778881056-1548683243",778881056,-1548683243,1
"778881056-256548834",778881056,-256548834,1
"778881056-1548683237",778881056,-1548683237,1
"7788810562032269328",778881056,2032269328,1
"2032269328536309780",2032269328,536309780,1
"2032269328-1579550694",2032269328,-1579550694,1
"2032269328-256548848",2032269328,-256548848,1
"2032269328-1161432032",2032269328,-1161432032,1
"2032269328-1683390432",2032269328,-1683390432,1
"2032269328-763488222",2032269328,-763488222,1
"-763488222595819552",-763488222,595819552,1
"-763488222-1548683243",-763488222,-1548683243,1
"-763488222-1259887584",-763488222,-1259887584,1
"-763488222-256548834",-763488222,-256548834,1
"-763488222-1548683237",-763488222,-1548683237,1
"-763488222778881056",-763488222,778881056,1
"1121670162-164953023",1121670162,-164953023,1
"1121670162472545345",1121670162,472545345,1
"1121670162831647776",1121670162,831647776,1
"11216701621709433876",1121670162,1709433876,1
"11216701621895478304",1121670162,1895478304,1
"-1649530231121670162",-164953023,1121670162,1
"-1649530231895478304",-164953023,1895478304,1
"4725453451121670162",472545345,1121670162,1
"-164953023472545345",-164953023,472545345,3
"4725453451895478304",472545345,1895478304,1
"8316477761121670162",831647776,1121670162,1
"8316477761895478304",831647776,1895478304,1
"17094338761121670162",1709433876,1121670162,1
"1709433876-164953023",1709433876,-164953023,1
"1709433876472545345",1709433876,472545345,1
"1709433876831647776",1709433876,831647776,1
"17094338761895478304",1709433876,1895478304,1
"18954783041121670162",1895478304,1121670162,1
"1895478304-164953023",1895478304,-164953023,1
"1895478304472545345",1895478304,472545345,1
"1895478304831647776",1895478304,831647776,1
"18954783041709433876",1895478304,1709433876,1
"1895478304-482260966",1895478304,-482260966,1
"-482260966-164953023",-482260966,-164953023,1
"-482260966472545345",-482260966,472545345,1
"-482260966831647776",-482260966,831647776,1
"-4822609661709433876",-482260966,1709433876,1
"-4822609661895478304",-482260966,1895478304,1
"-482261984-199529448",-482261984,-199529448,1
"-482261984311806992",-482261984,311806992,1
"-482261984-164953023",-482261984,-164953023,1
"-482261984472545345",-482261984,472545345,1
"-482261984-843443179",-482261984,-843443179,1
